video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_1,nc_13_late,186.33333333333331,250,4_4,"[[ 4.33333333  5.          2.          1.33333333]
 [15.33333333 16.         14.33333333 15.66666667]
 [18.66666667 22.66666667 21.33333333 20.        ]
 [ 1.66666667  8.          9.66666667 10.33333333]]","[[ 1.20333333  1.09        0.92666667  1.31333333]
 [11.24666667 10.39       11.63333333 11.0475    ]
 [16.71583333 22.015      18.11916667 17.94483333]
 [ 3.16816667  7.065       9.65416667  9.22916667]]"
control_sog_d_1,nc_14_a,301.0,250,4_4,"[[ 4.33333333  4.          2.33333333  1.        ]
 [22.33333333 16.66666667 20.         20.33333333]
 [49.33333333 31.66666667 30.33333333 28.66666667]
 [ 6.33333333 18.33333333 23.66666667 21.66666667]]","[[ 0.76666667  0.66        0.50333333  1.76583333]
 [16.66083333 11.52666667  8.60166667  9.86      ]
 [22.3875     19.59833333 17.44333333 13.8375    ]
 [ 2.33916667  9.5625      9.94333333 15.78666667]]"
control_sog_d_1,nc_14_b,358.0,250,4_4,"[[ 4.66666667  0.33333333  2.66666667  1.33333333]
 [32.66666667 15.         26.         29.        ]
 [50.66666667 40.33333333 43.33333333 43.33333333]
 [ 4.         14.66666667 26.         24.        ]]","[[ 6.6155      5.10516667  0.19666667  0.22333333]
 [33.2665     35.05416667 31.14666667 28.1805    ]
 [35.01416667 30.28233333 34.49183333 24.68233333]
 [ 4.37133333 10.66933333 14.285      14.82166667]]"
control_sog_d_1,nc_14_c,158.5,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 7.25  0.25  7.5   9.  ]
 [36.    6.   20.5  31.75]
 [ 2.25  3.   14.25 20.75]]","[[ 4.81416667  1.18166667  0.22666667  0.10583333]
 [31.64516667 27.24266667 27.9975     27.27433333]
 [34.55833333 25.169      38.2975     32.46483333]
 [ 2.96766667  9.149      12.67283333 12.552     ]]"
control_sog_d_1,nc_14_d,84.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.75  1.    0.75  1.  ]
 [14.75  8.75  9.25 12.75]
 [ 0.75  3.25 15.75 15.25]]","[[7.42166667e-01 6.66666667e-02 1.66666667e-02 1.50000000e-02]
 [7.07750000e+00 1.07133333e+00 1.28833333e+00 1.48366667e+00]
 [1.78821667e+01 6.10566667e+00 7.01083333e+00 1.45896667e+01]
 [9.97500000e-01 4.85700000e+00 7.64133333e+00 1.22490000e+01]]"
control_sog_d_1,stage_6,14.599999999999998,250,4_4,"[[0.  0.  0.  0. ]
 [0.  0.  0.  0. ]
 [2.  2.8 1.2 2.4]
 [0.  0.6 2.2 3.4]]","[[5.33333333e-02 1.06666667e-02 6.66666667e-03 1.06666667e-02]
 [2.96816667e+00 2.22900000e+00 1.52683333e+00 4.23166667e+00]
 [5.05466667e+00 4.11483333e+00 3.99933333e+00 7.75116667e+00]
 [2.19283333e+00 6.09633333e+00 5.75566667e+00 1.01421667e+01]]"
control_sog_d_2,nc_13_late,135.0,250,4_4,"[[ 2.33333333  1.66666667  1.          1.66666667]
 [12.33333333  9.66666667  9.33333333  5.33333333]
 [19.66666667 20.33333333 22.66666667 11.33333333]
 [ 5.          7.33333333  3.66666667  1.66666667]]","[[ 1.42666667  1.72833333  2.24666667  2.19      ]
 [14.43666667 14.09333333 12.35333333 12.34      ]
 [18.36583333 19.4625     12.22833333 15.97283333]
 [ 6.13083333  5.5385      3.23316667  3.44733333]]"
control_sog_d_2,nc_14_a,185.33333333333331,250,4_4,"[[ 0.66666667  0.          0.          0.        ]
 [ 9.66666667  2.33333333  5.33333333  1.        ]
 [36.         31.         29.33333333 22.33333333]
 [14.33333333 17.66666667 12.66666667  3.        ]]","[[ 2.31        4.99        4.754       2.59833333]
 [17.10683333 17.56933333 14.11       13.7725    ]
 [26.16916667 28.05333333 22.484      17.50066667]
 [10.498      12.74666667  9.91066667  8.30333333]]"
control_sog_d_2,nc_14_b,209.99999999999997,250,4_4,"[[ 1.          0.33333333  0.66666667  0.        ]
 [16.33333333  2.33333333 11.          7.33333333]
 [46.         26.33333333 35.66666667 30.33333333]
 [10.66666667 11.          9.66666667  1.33333333]]","[[15.29983333 13.12566667 12.409      10.64066667]
 [35.51416667 32.86083333 25.035      26.48666667]
 [35.69       37.19433333 37.5775     38.28133333]
 [ 9.0485     13.05833333  9.43033333  5.80466667]]"
control_sog_d_2,nc_14_c,124.0,250,4_4,"[[ 0.25  0.    0.    0.  ]
 [10.    0.5   3.    2.75]
 [38.25 11.   23.25 16.25]
 [ 6.75  6.    6.    0.  ]]","[[ 2.84666667  7.24983333 11.924       6.9025    ]
 [13.7015     19.27116667 32.19916667 10.72483333]
 [29.98166667 37.6175     38.9525     29.53916667]
 [ 4.13866667  5.22216667  3.94        2.68883333]]"
